Candidate_ID,Contribution_Year,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Donation_Count,Donor_Count
1,2015,4000.0,100.0,789.4736842105264,30000.0,38,36
1,2016,7000.0,1.0,868.7946464646465,86010.67,99,89
1,2017,1500.0,2.63,297.3137735849056,15757.63,53,49
1,2018,9000.0,20.0,968.015873015873,60985.0,63,59
1,2019,5000.0,1.22,749.4310185185185,80938.55,108,92
2,2015,293.75,293.75,293.75,293.75,1,1
2,2016,675.22,675.22,675.22,675.22,1,1
2,2018,11000.0,1.0,326.8668533886549,472649.46999999497,1446,1316
2,2019,7500.0,1.0,674.5939893617021,253647.34,376,318
2,2020,5500.0,20.0,768.682119205298,116071.0,151,150
3,2015,65000.0,0.03,2261.7853333333333,542828.48,240,208
3,2016,11000.0,5.27,1578.0153658536587,452890.41000000003,287,233
3,2017,10000.0,25.0,1243.7929389312976,325873.75,262,214
3,2018,10000.0,25.0,1438.660744680851,405702.32999999996,282,238
3,2019,10000.0,5.0,1152.2830786026202,527745.65,458,374
3,2020,17300.0,50.0,3683.3333333333335,77350.0,21,21
4,2017,391.03,10.0,49.54870967741935,4608.03,93,90
4,2018,11000.0,1.0,107.2084220135616,411037.0899999952,3834,2841
4,2019,9800.0,1.0,348.6627986348123,102158.2,293,107
5,2015,6500.0,25.0,653.8867924528302,34656.0,53,52
5,2016,6000.0,10.0,425.68722943722946,98333.75,231,207
5,2017,3000.0,5.0,266.42857142857144,24245.0,91,88
5,2018,7000.0,5.0,288.6457680250784,92078.0,319,270
5,2019,2500.0,3.0,493.3644859813084,52790.0,107,87
6,2015,2500.0,1.0,490.7112676056338,69681.0,142,135
6,2016,10300.0,15.0,747.3809523809524,141255.0,189,162
6,2017,7000.0,20.0,653.359375,83630.0,128,112
6,2018,8000.0,20.0,820.8790534979423,199473.61,243,197
6,2019,7500.0,25.0,889.402087912088,242806.77000000002,273,207
7,2015,5500.0,100.0,863.9705882352941,88125.0,102,81
7,2016,12259.71,5.0,971.6524015748031,246799.71,254,190
7,2017,3500.0,100.0,529.3388429752066,64050.0,121,117
7,2018,14344.0,50.0,901.0359712230215,125244.0,139,115
7,2019,7500.0,100.0,961.9791666666666,92350.0,96,78
9,2018,11000.0,0.04,59.17596431605775,278600.4399999999,4708,3450
9,2019,4647.03,1.0,92.1005138339921,23301.43,253,197
9,2020,5000.0,1.0,179.13506493506495,13793.400000000001,77,74
10,2015,10300.0,18.0,306.0425531914894,28768.0,94,91
10,2016,10000.0,5.0,606.2,136395.0,225,212
10,2017,3500.0,50.0,225.46753246753246,17361.0,77,74
10,2018,11000.0,5.0,491.8888888888889,44270.0,90,81
10,2019,3500.0,125.0,1328.125,10625.0,8,8
12,2015,5000.0,0.0,485.20168067226894,115478.0,238,181
12,2016,10000.0,49.0,525.6931818181819,138783.0,264,225
12,2017,5000.0,25.0,417.7391304347826,144120.0,345,277
12,2018,11000.0,35.0,869.123076923077,237270.6,273,224
12,2019,10000.0,25.0,704.2494321766562,223247.07,317,267
12,2020,5000.0,25.0,974.375,7795.0,8,8
14,2015,10000.0,50.0,1069.2796610169491,252350.0,236,185
14,2016,10750.0,35.0,1100.3527131782946,283891.0,258,204
14,2017,5000.0,36.0,879.6912,329884.2,375,268
14,2018,15500.0,25.0,1206.9473684210527,343980.0,285,227
14,2019,14500.0,50.0,1003.0946308724832,298922.2,298,241
14,2020,2000.0,100.0,494.2857142857143,6920.0,14,14
15,2015,5000.0,10.0,496.7171335504886,152492.16,307,233
15,2016,10500.0,10.0,515.9416913946587,173872.35,337,260
15,2017,3500.0,10.0,579.9266379310345,134542.98,232,175
15,2018,8000.0,10.0,587.5568181818181,155115.0,264,211
15,2019,3600.0,10.0,469.8052995391705,101947.75,217,172
15,2020,500.0,275.0,354.1666666666667,2125.0,6,6
16,2015,1750.0,1.77,250.29875,38045.41,152,139
16,2016,11000.0,1.56,261.23839080459766,45455.479999999996,174,107
16,2017,2500.0,0.76,171.89857142857142,18049.35,105,65
16,2018,9000.0,1.27,337.49814102564096,52649.70999999999,156,134
16,2019,4000.0,5.71,154.10920000000002,19263.65,125,91
16,2020,428.06,428.06,428.06,428.06,1,1
17,2015,2700.0,15.62,470.62162500000005,75299.46,160,118
17,2016,4400.0,5.0,512.7058536585366,42041.880000000005,82,68
17,2017,11000.0,1.3,812.483211678832,111310.2,137,104
17,2018,11000.0,1.4,522.1254901960784,26628.4,51,48
17,2019,2000.0,100.0,783.3333333333334,2350.0,3,3
17,2020,2500.0,5.0,175.92105263157896,6685.0,38,36
18,2015,6500.0,3.0,799.5718954248366,122334.5,153,143
18,2016,11000.0,10.0,833.5756676557863,280915.0,337,287
18,2017,11000.0,20.0,558.1301132075472,147904.48,265,247
18,2018,7000.0,10.0,651.1241126760564,231149.06,355,262
18,2019,11000.0,3.0,667.491328125,256316.66999999998,384,288
18,2020,7500.0,10.0,1346.8181818181818,59260.0,44,41
