"candidate_id","contribution_year","contribution_max","contribution_min","contribution_avg","total","donation_count","donor_count"
36,2019,2350,20,455.7142857142857,9570,21,21
37,2019,800,1,53.262,15978.6,300,300
37,2020,4700,1,30.53879823594258,166192.13999999952,5442,5442
37,2021,1000,1,48.37246975806453,47985.49000000002,992,992
37,2022,4000,1,74.93426395939088,14762.050000000003,197,197
38,2017,750,30,170.81166666666664,2049.74,12,12
38,2018,5000,0.28,222.16342612419703,103750.32,467,467
38,2019,1863.02,1.5,137.57661157024793,16646.77,121,121
38,2020,7000,10,221.7721111111111,19959.489999999998,90,90
38,2021,1000,50,525,1050,2,2
40,2019,2000,5,119.25537974683546,18842.350000000002,158,158
40,2020,15368.5,1,73.65095336076817,107383.09,1458,1458
40,2021,3000,3,64.97701520912548,34177.91,526,526
40,2022,4000,1,135.8827160493827,22013,162,162
41,2017,4400,25,329.2977099236641,43138,131,131
41,2018,4400,25,549.3422459893048,102727,187,187
41,2019,4700,1,355.7647058823529,60480,170,170
41,2020,3700,25,455.2684375,29137.18,64,64
41,2021,4700,50,588.4375,18830,32,32
41,2022,2000,100,427.5,8550,20,20
42,2019,2350,3,143.78846153846155,54208.25,377,377
42,2020,4700,1,115.23538707613565,180112.91000000003,1563,1563
42,2021,4000,1,148.97925233644858,47822.34,321,321
42,2022,1000,5,113.23863636363636,9965,88,88
43,2017,3000,100,730.2083333333334,35050,48,48
43,2018,4400,50,546.3982812500001,69938.98000000001,128,128
43,2019,4700,15,433.256,54157,125,125
43,2020,2700,5,685.8823529411765,69960,102,102
43,2021,4700,250,1220,12200,10,10
46,2017,7500,25,1331.7521008403362,475435.5,357,357
46,2018,25000,25,2206.1269774919615,686105.49,311,311
46,2019,25000,5,1644.8679443254819,768153.3300000001,467,467
46,2020,25000,20,2278.6401673640166,544595,239,239
46,2021,25000,1,1645.9156976744187,566195,344,344
46,2022,10000,22,1611.2941176470588,82176,51,51
47,2017,2000,20,539.0943103448276,31267.47,58,58
47,2018,2200,20,546.3934426229508,33330,61,61
47,2019,2000,10,506.3454545454546,27849,55,55
47,2020,1000,250,528.8461538461538,13750,26,26
47,2021,2500,20,496.9111111111111,22361,45,45
47,2022,1000,250,812.5,3250,4,4
49,2017,2000,250,587.2856818181818,25840.57,44,44
49,2018,4400,10,213.75451263537906,59210,277,277
49,2019,2500,1,180.51794,90258.97,500,500
49,2020,2500,5,300.3128431372549,30631.91,102,102
49,2021,3000,10,215.6492027334852,94670,439,439
49,2022,1000,50,400,2800,7,7
50,2019,500,5,50.178984374999985,6422.909999999998,128,128
50,2020,4700,3,118.10766355140187,50550.08,428,428
50,2021,4700,25,517.5,11385,22,22
50,2022,100,20.22,38.26636363636364,841.8600000000001,22,22
54,2017,4400,125,677.2727272727273,14900,22,22
54,2018,4400,59.72,904.0637037037037,24409.72,27,27
54,2019,5000,25,912.9198360655738,55688.11,61,61
54,2020,4700,5,780.561797752809,69470,89,89
54,2021,4700,10,516.4423076923077,80565,156,156
54,2022,4700,35,1034.642857142857,14485,14,14
56,2017,4950,20,514.8423423423424,114295,222,222
56,2018,2500,15,369.72803347280336,88365,239,239
56,2019,537789,1,573.1625222024867,645381,1126,1126
56,2020,4700,1,20.06132900677218,71097.3500000006,3544,3544
56,2021,18800,1,289.47462732919274,93210.83000000006,322,322
56,2022,5000,2.22,381.70043478260874,17558.22,46,46
61,2019,1950,0.28,49.37994397759105,35257.280000000006,714,714
61,2020,4910,1,36.940128044971836,236564.57999999964,6404,6404
61,2021,6695.8,1,102.13557213930346,20529.249999999996,201,201
65,2019,3700,2,84.98482926829269,17421.89,205,205
65,2020,4700,1,28.185788525082526,93830.48999999973,3329,3329
