Elected_Id,District,Name,Party,County,Role,First_Elected,SpecialPosition,Filer_IDs,First_Name,Last_Name
77,72,Carmen De La Rosa,Dem,New York,Assembly,2016,,"C13533,C05092,C05091,A23058,A22948,A21888,A21367,A21366",Carmen,De La Rosa
78,73,Dan Quart,Dem,New York,Assembly,2011,,"C37002,C37001,C20565,C20564,C10336,C09613,C05994,A85885,A85884,A85455",Dan,Quart
79,74,Harvey Epstein,Dem,New York,Assembly,2018,,"A21948,A21947",Harvey,Epstein
80,75,Richard N. Gottfried,Dem,New York,Assembly,1970,,"A02622,A00281",Richard,N. Gottfried
81,76,Rebecca Seawright,Dem,New York,Assembly,2014,,"A19763,A19762",Rebecca,Seawright
82,77,Latoya Joyner,Dem,Bronx,Assembly,2014,,"A21097,A19723,A19722",Latoya,Joyner
83,78,Jose Rivera,Dem,Bronx,Assembly,2000,,"A13338,A11993,A11992",Jose,Rivera
84,79,Chantel Jackson,Dem,Bronx,Assembly,2020,,"A23042,A23041",Chantel,Jackson
85,80,Nathalia Fernandez,Dem,Bronx,Assembly,2018,,"A22172,A22171",Nathalia,Fernandez
86,81,Jeffrey Dinowitz,Dem,Bronx,Assembly,1994,,"A04365,A04364",Jeffrey,Dinowitz
87,82,Michael Benedetto,Dem,Bronx,Assembly,2004,,"A83863,A70155,A18481,A11964,A11963",Michael,Benedetto
88,83,Carl Heastie,Dem,Bronx,Assembly,2000,Speaker of the Assembly,"A22130,A12194,A11761,A11760",Carl,Heastie
89,84,Amanda Septimo,Dem,Bronx,Assembly,2020,,"C05836,C05835,A21488,A21487",Amanda,Septimo
90,85,Kenny Burgos,Dem,Bronx,Assembly,2020,,"A23547,A23546",Kenny,Burgos
91,86,Victor M. Pichardo,Dem,Bronx,Assembly,2013,,"A19529,A19528",Victor,M. Pichardo
92,87,Karines Reyes,Dem,Bronx,Assembly,2018,,"A22225,A22224",Karines,Reyes
93,Statewide,Andrew,Dem,Statewide,Governor,2011,,"A31967,A31966,A12499,A12498",Andrew,Cuomo
94,Statewide,Kathy ,Dem,Statewide,Lieutenant Governor,2015,,"C22082,C22081,A20034,A20033",Kathy,Hochul
95,Statewide,Letitia,Dem,Statewide,Attorney General,2019,,"C85620,C85619,C40223,C40222,C34400,C34399,C34398,C19601,C19600,C09424,C09423,C02734,A22406",Letitia,James
96,Statewide,Thomas,Dem,Statewide,Comptroller,2007,,"C32574,C32573,A36301,A31661,A26780,A18397,A02049,A00837",Thomas,DiNapoli
