Candidate_ID,Contribution_Year,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Donation_Count,Donor_Count
25,2019,7000,1,209.5725028,190082.26,907,566
25,2020,7500,1,150.4847945,164780.85,1095,699
25,2109,20,20,20,20,1,1
26,2016,11000,15,700.1749623,464216,663,562
26,2017,10000,5,809.4583871,250932.1,310,281
26,2018,11000,5,790.5442061,751807.54,951,770
26,2019,11000,2,1055.132043,826168.39,783,631
26,2020,11800,20,1356.925914,408434.7,301,280
27,2016,11000,1,1206.097319,283432.87,235,203
27,2017,7000,25,771.3151546,74817.57,97,79
27,2018,10300,24.01,789.9172455,131916.18,167,140
27,2019,7000,25,808.0766923,105049.97,130,112
27,2020,10000,10,1273.973214,71342.5,56,54
28,2016,4400,0.75,458.3709384,156304.49,341,263
28,2017,2000,100,757.2368421,28775,38,38
28,2018,4400,18,495.2994652,92621,187,172
28,2019,5000,75,586.5591398,54550,93,82
28,2020,4500,50,753.5569014,53502.54,71,67
29,2016,3900,5,642.5078534,122719,191,184
29,2017,4400,25,599.6153846,93540,156,140
29,2018,3044,25,545.177686,131933,242,218
29,2019,2000,10,337.2238806,112970,335,298
29,2020,5000,3,400.2719255,64443.78,161,153
30,2016,4100,18,287.5829167,27607.96,96,92
30,2017,1500,50,464.4736842,17650,38,38
30,2018,4400,1,265.3006135,43244,163,142
30,2019,1000,5,310.031746,19532,63,61
30,2020,2000,10,176.0654545,19367.2,110,101
31,2016,1000,20,283.6440678,33470,118,113
31,2017,1000,25,286.4832143,32086.12,112,103
31,2018,3400,20,435.033125,76565.83,176,161
31,2019,2000,40,302.8278689,36945,122,116
31,2020,5000,3,444.1300813,54628,123,113
32,2016,250,100,175,350,2,2
32,2017,2500,5,313.7373134,42040.8,134,131
32,2018,2500,15,455.1327434,51430,113,99
32,2019,10000,5,586.6666667,89760,153,138
32,2020,4700,10,875.8918919,32408,37,36
33,2016,3850,100,544.8979592,26700,49,49
33,2017,2000,20,539.0943103,31267.47,58,56
33,2018,2200,20,548.6666667,32920,60,54
33,2019,2000,10,509.2727273,28010,55,50
33,2020,1000,250,527.7777778,14250,27,25
34,2016,4400,10,253.8528428,75902,299,260
34,2017,2000,250,587.2856818,25840.57,44,40
34,2018,4400,10,213.7545126,59210,277,246
34,2019,2500,1,179.9676815,89263.97,496,422
34,2020,250,25,135,1350,10,10
35,2016,4400,5,278.9154229,56062,201,171
35,2017,2500,25,196.0227273,8625,44,44
35,2018,4400,5,349.0677966,82380,236,180
35,2019,1000,5,262.8409091,11565,44,44
35,2020,1700,3,302.3333333,8163,27,27
36,2019,1000,2,44.26687117,14431,326,266
36,2020,11203,2,76.23809129,36746.76,482,408
37,2016,1000,250,625,5000,8,8
37,2017,500,500,500,500,1,1
38,2016,4400,5,333.0275229,36300,109,94
38,2017,4400,50,991.6666667,5950,6,6
38,2018,4400,10,328.975125,26318.01,80,71
38,2019,4000,25,417.8954286,14626.34,35,34
38,2020,1500,5,232.7272727,7680,33,33
39,2019,2350,3,143.7884615,54208.25,377,353
39,2020,4700,1,112.3685027,165855.91,1476,1132
40,2016,2000,100,386.7647059,19725,51,50
40,2017,1000,100,587.5,2350,4,4
40,2018,4400,100,698.6842105,26550,38,37
40,2019,1000,100,362.2727273,7970,22,22
40,2020,4700,100,890.9482759,103350,116,103
41,2019,1950,0.28,49.37994398,35257.28,714,563
41,2020,4910,1,37.12337886,228308.78,6150,3366
42,2016,1500,25,345.9777778,24910.4,72,69
42,2017,1500,15,355.6878307,67225,189,164
42,2018,2760,10,438.8076923,45636,104,102
42,2019,4700,1,677.2769231,88046,130,126
42,2020,4700,5,570.950431,132460.5,232,196
43,2016,10000,20,752.6995516,167852,223,211
43,2019,15000,5,1379.310345,120000,87,83
43,2020,20000,1,506.7119266,110463.2,218,206
44,2017,2500,15,124.7833333,7487,60,57
44,2018,4400,3,167.2666824,284353.36,1700,1217
44,2019,2500,1,201.814931,58526.33,290,244
44,2020,4700,0.02,235.082202,116365.69,495,378
45,2016,5000,15,616.4485981,131920,214,203
45,2017,4950,20,514.8423423,114295,222,212
45,2018,2500,15,369.7280335,88365,239,228
45,2019,537789,1,573.6631111,645371,1125,1100
45,2020,4700,1,19.45321119,67424.83,3466,3069
46,2016,2400,25,554.7223404,26071.95,47,36
46,2017,2000,50,523.4682353,26696.88,51,40
46,2018,2500,100,798.6725664,90250,113,108
46,2019,2500,100,748.4848485,74100,99,97
46,2020,3700,250,1146.666667,17200,15,14
47,2016,4400,25,531.6389754,129719.91,244,226
47,2017,4400,5,505.9354839,78420,155,145
47,2018,4400,20,691.823741,192327,278,249
47,2019,4700,40,1025.125786,162995,159,150
47,2020,25000,5,1237.336066,150955,122,118
48,2016,5000,10,782.6538462,40698,52,42
48,2017,1000,4.51,412.1275,3297.02,8,7
48,2018,100,5,37,185,5,5
48,2019,4700,4.8,378.6935484,11739.5,31,16
48,2020,10000,5,230.3886435,146066.4,634,405
49,2016,5000,5,387.0063385,125777.06,325,283
49,2017,1500,10,201.6282273,44358.21,220,200
